,Name,Album,Artist,URL
0,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",Bollywood Heartbreak Songs,Various Artists,https://open.spotify.com/track/5r0ZVUKEmqqo0bfW8p9wK7
1,"Agar Tum Saath Ho (From ""Tamasha"")",Bollywood Heartbreak Songs,Various Artists,https://open.spotify.com/track/18U9dZxijQZFmqeN8ljVKR
2,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Bollywood Heartbreak Songs,Various Artists,https://open.spotify.com/track/6sLyeEJtpM5FuDZhcGreoh
3,"Roke Na Ruke Naina (From ""Badrinath Ki Dulhania"")",Bollywood Heartbreak Songs,Various Artists,https://open.spotify.com/track/79OpcqzQvmqmy92saiWA4R
4,"Phir Mulaaqat (Female Version) [From ""Why Cheat India""]",Bollywood Heartbreak Songs,Various Artists,https://open.spotify.com/track/14zQIXgBVD0NDtuCR0O01R
5,"Main Rahoon Ya Na Rahoon (From ""Main Rahoon Ya Na Rahoon"")",Bollywood Heartbreak Songs,Various Artists,https://open.spotify.com/track/0Z8R8Kzs8KmS5DEe2d7Obk
6,"Tere Mere (From ""Chef"")",Bollywood Heartbreak Songs,Various Artists,https://open.spotify.com/track/1ySRbfReXWAOnfSaLC4hKK
7,"Nain Na Jodeen (From ""Badhaai Ho"")",Bollywood Heartbreak Songs,Various Artists,https://open.spotify.com/track/6MMaGi6Mcg1we34waWdt19
8,"Lo Maan Liya (From ""Raaz Reboot"")",Bollywood Heartbreak Songs,Various Artists,https://open.spotify.com/track/6CuZJz1JzRuTvqGwtORoDp
9,"Humnava Mere (From ""Humnava Mere"")",Bollywood Heartbreak Songs,Various Artists,https://open.spotify.com/track/28ur8N9kQepSEZBlf0e2s7
