,Name,Album,Artist,URL
0,"Dilbar (From ""Satyameva Jayate"")",Bollywood Best Party Songs 2018,Various Artists,https://open.spotify.com/track/32Q2k0uJ2mIu7OqjZs8usq
1,"Bom Diggy Diggy (From ""Sonu Ke Titu Ki Sweety"")",Bollywood Best Party Songs 2018,Various Artists,https://open.spotify.com/track/15C2MmLAPMwo2KtNWRh6vg
2,"Akh Lad Jaave (From ""Loveyatri - A Journey Of Love"")",Bollywood Best Party Songs 2018,Various Artists,https://open.spotify.com/track/5XZn52LGoAKC5S3sQ0JnAf
3,"Kamariya (From ""Stree"")",Bollywood Best Party Songs 2018,Various Artists,https://open.spotify.com/track/5fbNgzhyBCG82tKPC5UuFU
4,"Patola (From ""Blackmail"")",Bollywood Best Party Songs 2018,Various Artists,https://open.spotify.com/track/2AA7R9yRJOrfkGjSrZraBc
5,"Mundiyan (From ""Baaghi 2"")",Bollywood Best Party Songs 2018,Various Artists,https://open.spotify.com/track/0RJspHM5PYSLDrsZJ9blRm
6,"High Rated Gabru (From ""Nawabzaade"")",Bollywood Best Party Songs 2018,Various Artists,https://open.spotify.com/track/20zTe4qJY0XjtX1ln3uyjl
7,"Ek Do Teen (From ""Baaghi 2"")",Bollywood Best Party Songs 2018,Various Artists,https://open.spotify.com/track/6Ba7piYs9TJTL3koTYk7zF
8,"Chhote Chhote Peg (From ""Sonu Ke Titu Ki Sweety"")",Bollywood Best Party Songs 2018,Various Artists,https://open.spotify.com/track/7Jpl3wBHiqK9asoy4JaBQS
9,"Milegi Milegi (From ""Stree"")",Bollywood Best Party Songs 2018,Various Artists,https://open.spotify.com/track/5AYVDVs74o8BqQrl7CN3Cz
