,Name,Album,Artist,URL
0,Viva La Vida,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/1Asg7I18Ld7gLKAyIgIDNr
1,Hold My Hand,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/0044KLg63hSE6JUcXWnqoj
2,Just the Way You Are,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/6sIki0jaxEEr5LgAhEugye
3,Respect,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/2pCfenigottO2nnEOCMe2i
4,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",100 Uplifting Songs,Various Artists,https://open.spotify.com/track/3Y484mbTW1KshekIIHKHZ4
5,Dreams,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/7EEDg2CF6pOMHbyHA4LSVf
6,I'm Yours,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/2O7vFKjZ04JVQa0VHO9tCP
7,Smile,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/42HGHtqaDGcLMlf1niS7Ng
8,Feel It Still,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/6Y2YQFazXCWnttUPmyB610
9,One Call Away,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/0akFo7AS0JbFabFbDStIYc
10,My Head & My Heart,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/0PWg2mJEVN6A2Elk05uNTG
11,Rockabye (feat. Sean Paul & Anne-Marie),100 Uplifting Songs,Various Artists,https://open.spotify.com/track/0fiTLMDPiVtxd8VJlTsYqT
12,Move On Up,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/57xwUKleCezHXNfgtIhJGR
13,Stand By Me,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/4QyxdORBjLGaOw5N3fTGqw
14,Stars,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/5Rqh2kx5aUX35FX1DV27yt
15,Breathless,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/1nzakxa23A5GuraHEtVftu
16,Pack Up,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/3TvGDRH5ufoqSr5aPVs3cl
17,Don't Get Me Wrong,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/1ahSiP3tFxP5IDD8rhtpdu
18,Friends,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/2BnYjHzeWPYzu26Xrmrj8F
19,(Sittin' On) The Dock of the Bay,100 Uplifting Songs,Various Artists,https://open.spotify.com/track/0VmN0EacYnqMtdHzlRTGOt
20,Rather Be (feat. Jess Glynne),100 Uplifting Songs,Various Artists,https://open.spotify.com/track/3ZfLT7KD0p9a5i12gdU0Aq
